" (l","1"
" Ci","1"
" Co","7"
" Di","6"
" El","1"
" En","1"
" Gr","1"
" I ","4"
" Jo","1"
" Ju","1"
" La","1"
" Le","1"
" L’","1"
" Me","2"
" Na","5"
" Pe","5"
" Qu","3"
" Ro","2"
" Si","1"
" [.","1"
" a ","14"
" ac","1"
" ag","2"
" al","11"
" am","6"
" an","5"
" ap","2"
" aq","1"
" ar","4"
" as","1"
" at","4"
" av","1"
" ba","2"
" be","2"
" bl","2"
" bo","1"
" br","2"
" bu","2"
" ca","14"
" ci","6"
" co","13"
" có","4"
" da","4"
" de","48"
" di","14"
" do","2"
" d’","5"
" ed","1"
" el","23"
" em","5"
" en","10"
" es","10"
" ex","2"
" fe","3"
" fi","1"
" fl","2"
" fr","1"
" ga","1"
" ge","4"
" go","2"
" gr","1"
" gè","1"
" ha","5"
" hi","3"
" ho","2"
" hà","1"
" i ","26"
" i,","1"
" im","2"
" in","2"
" jo","5"
" la","35"
" le","3"
" li","1"
" ll","4"
" l’","3"
" ma","6"
" me","7"
" mi","1"
" mo","4"
" mé","2"
" mó","1"
" mú","1"
" m’","1"
" ni","2"
" no","16"
" o ","6"
" pa","9"
" pe","16"
" pl","7"
" po","9"
" pr","7"
" ps","1"
" pu","5"
" qu","30"
" re","2"
" ri","3"
" ro","3"
" se","11"
" si","3"
" so","6"
" sí","1"
" só","1"
" ta","4"
" te","2"
" ti","1"
" to","5"
" tr","6"
" tè","1"
" un","16"
" us","9"
" ut","1"
" va","25"
" ve","4"
" vi","3"
" vo","9"
" ¡p","1"
" ¿q","1"
" és","3"
" “L","1"
" “n","1"
"! e","2"
"(la","1"
"), ","1"
", C","1"
", [","1"
", a","2"
", c","1"
", d","1"
", e","5"
", i","3"
", l","3"
", n","1"
", q","2"
", s","1"
", t","1"
", u","2"
", v","3"
", ¡","1"
"-se","1"
". C","1"
". E","1"
". I","2"
". J","1"
". L","2"
". M","1"
". R","1"
". i","1"
". ¿","1"
".. ","4"
"...","7"
"..]","1"
"..”","1"
".] ","1"
": C","1"
": h","1"
": “","2"
"? E","1"
"? I","2"
"? P","5"
"? Q","1"
"? S","1"
"?..","1"
"A v","1"
"Aco","1"
"Alg","1"
"Cin","1"
"Col","7"
"Com","1"
"Cre","1"
"Dei","1"
"Dia","6"
"Ell","1"
"Els","1"
"En ","1"
"Gra","1"
"I e","1"
"I l","2"
"I s","1"
"I v","2"
"Ja ","1"
"Jo ","1"
"Jul","1"
"La ","3"
"Les","1"
"L’e","1"
"Mer","1"
"Me’","1"
"Nat","5"
"Per","5"
"Qua","1"
"Qui","3"
"Què","1"
"Rec","1"
"Rod","2"
"Si ","1"
"Tot","1"
"Tra","1"
"Va ","1"
"[..","1"
"] s","1"
"a (","1"
"a C","3"
"a J","1"
"a N","5"
"a a","14"
"a b","4"
"a c","14"
"a d","22"
"a e","8"
"a g","3"
"a i","8"
"a l","8"
"a m","7"
"a n","5"
"a p","23"
"a q","3"
"a r","4"
"a s","6"
"a t","2"
"a u","3"
"a v","5"
"a),","1"
"a, ","7"
"a. ","5"
"a..","1"
"a? ","4"
"aba","1"
"aca","2"
"aci","2"
"ada","11"
"ade","4"
"ado","2"
"adu","1"
"af!","2"
"afa","1"
"aga","1"
"agi","2"
"ago","5"
"agr","1"
"aig","8"
"air","1"
"al ","12"
"al?","1"
"ala","1"
"ale","1"
"alg","2"
"all","3"
"als","5"
"alt","2"
"alu","1"
"am ","1"
"ama","6"
"amb","5"
"ame","4"
"ami","1"
"amo","1"
"amu","1"
"amv","2"
"an ","6"
"an,","1"
"an?","1"
"ana","3"
"anc","1"
"ane","1"
"ang","3"
"ano","1"
"anq","1"
"ans","1"
"ant","12"
"anv","2"
"any","1"
"anè","1"
"ap ","2"
"apa","1"
"apl","2"
"apo","1"
"apí","1"
"aqu","3"
"ar ","13"
"ar,","1"
"ar?","1"
"ara","7"
"are","4"
"arg","2"
"ari","3"
"arl","1"
"arr","11"
"art","2"
"arx","1"
"as ","2"
"asa","1"
"ase","1"
"asl","1"
"ass","4"
"at ","8"
"ata","3"
"ate","3"
"ats","1"
"atu","4"
"atà","5"
"aur","1"
"ava","4"
"ave","1"
"avi","2"
"aç ","1"
"aça","6"
"a”.","1"
"b d","1"
"b l","1"
"b u","1"
"ba ","1"
"bal","2"
"bar","3"
"bem","1"
"ben","2"
"bie","1"
"ble","2"
"bol","1"
"bot","1"
"bra","3"
"bre","1"
"bui","2"
"bé ","2"
"ca ","1"
"ca,","1"
"ca.","1"
"cab","1"
"cad","1"
"can","4"
"cap","3"
"car","9"
"cas","3"
"cat","3"
"cav","1"
"cci","1"
"cdo","1"
"ci ","1"
"cia","1"
"cie","1"
"cin","4"
"cio","3"
"cip","1"
"ciu","2"
"ció","2"
"cni","1"
"col","2"
"com","6"
"con","3"
"cor","3"
"cos","2"
"cri","2"
"cs ","1"
"cto","1"
"ctu","1"
"cul","2"
"cè ","1"
"cór","4"
"da ","12"
"da.","1"
"da?","2"
"dar","3"
"dav","2"
"de ","29"
"dei","3"
"del","10"
"den","1"
"des","9"
"deu","2"
"dev","1"
"dia","5"
"dic","1"
"dim","1"
"din","1"
"dir","8"
"diu","1"
"diü","1"
"dor","5"
"dos","1"
"dot","1"
"duc","1"
"dut","2"
"díc","2"
"d’a","3"
"d’e","1"
"d’h","1"
"e C","1"
"e L","1"
"e M","1"
"e a","2"
"e c","3"
"e d","2"
"e e","3"
"e g","2"
"e h","1"
"e j","1"
"e l","15"
"e m","6"
"e n","4"
"e p","5"
"e q","2"
"e s","1"
"e u","2"
"e v","3"
"e, ","1"
"ebé","1"
"eca","1"
"eco","1"
"ect","1"
"eda","4"
"ede","1"
"edi","1"
"efe","1"
"eg ","2"
"ega","3"
"egl","1"
"egu","3"
"eia","2"
"eie","1"
"eix","5"
